Date,State,Population,Confirmed,Recovered,Deceased,Tested
Mon Mar 02 00:00:00 GMT+05:30 2020,DL,19814000,1,,,
Mon Mar 02 00:00:00 GMT+05:30 2020,KL,35125000,3,3,,
Mon Mar 02 00:00:00 GMT+05:30 2020,PB,29859000,,,,3675493
Mon Mar 02 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Mon Mar 02 00:00:00 GMT+05:30 2020,TT,1332900000,5,3,,
Tue Mar 03 00:00:00 GMT+05:30 2020,DL,19814000,1,,,
Tue Mar 03 00:00:00 GMT+05:30 2020,KL,35125000,3,3,,
Tue Mar 03 00:00:00 GMT+05:30 2020,PB,29859000,,,,3675493
Tue Mar 03 00:00:00 GMT+05:30 2020,RJ,77264000,1,,,
Tue Mar 03 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Tue Mar 03 00:00:00 GMT+05:30 2020,TT,1332900000,6,3,,
Wed Mar 04 00:00:00 GMT+05:30 2020,DL,19814000,1,,,
Wed Mar 04 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Wed Mar 04 00:00:00 GMT+05:30 2020,KL,35125000,3,3,,
Wed Mar 04 00:00:00 GMT+05:30 2020,PB,29859000,,,,3675493
Wed Mar 04 00:00:00 GMT+05:30 2020,RJ,77264000,2,,,
Wed Mar 04 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Wed Mar 04 00:00:00 GMT+05:30 2020,TT,1332900000,28,3,,
Wed Mar 04 00:00:00 GMT+05:30 2020,UP,224979000,7,,,
Thu Mar 05 00:00:00 GMT+05:30 2020,DL,19814000,2,,,
Thu Mar 05 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Thu Mar 05 00:00:00 GMT+05:30 2020,KL,35125000,3,3,,
Thu Mar 05 00:00:00 GMT+05:30 2020,PB,29859000,,,,3675493
Thu Mar 05 00:00:00 GMT+05:30 2020,RJ,77264000,2,,,
Thu Mar 05 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Thu Mar 05 00:00:00 GMT+05:30 2020,TT,1332900000,30,3,,
Thu Mar 05 00:00:00 GMT+05:30 2020,UP,224979000,8,,,
Fri Mar 06 00:00:00 GMT+05:30 2020,DL,19814000,3,,,
Fri Mar 06 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Fri Mar 06 00:00:00 GMT+05:30 2020,KL,35125000,3,3,,
Fri Mar 06 00:00:00 GMT+05:30 2020,PB,29859000,,,,3675493
Fri Mar 06 00:00:00 GMT+05:30 2020,RJ,77264000,2,,,
Fri Mar 06 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Fri Mar 06 00:00:00 GMT+05:30 2020,TT,1332900000,31,3,,
Fri Mar 06 00:00:00 GMT+05:30 2020,UP,224979000,8,,,
Sat Mar 07 00:00:00 GMT+05:30 2020,DL,19814000,3,,,
Sat Mar 07 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Sat Mar 07 00:00:00 GMT+05:30 2020,KL,35125000,3,3,,
Sat Mar 07 00:00:00 GMT+05:30 2020,LA,293000,2,,,
Sat Mar 07 00:00:00 GMT+05:30 2020,PB,29859000,,,,3675493
Sat Mar 07 00:00:00 GMT+05:30 2020,RJ,77264000,2,,,
Sat Mar 07 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Sat Mar 07 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Sat Mar 07 00:00:00 GMT+05:30 2020,TT,1332900000,34,3,,
Sat Mar 07 00:00:00 GMT+05:30 2020,UP,224979000,8,,,
Sun Mar 08 00:00:00 GMT+05:30 2020,DL,19814000,3,,,
Sun Mar 08 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Sun Mar 08 00:00:00 GMT+05:30 2020,KL,35125000,8,3,,
Sun Mar 08 00:00:00 GMT+05:30 2020,LA,293000,2,,,
Sun Mar 08 00:00:00 GMT+05:30 2020,PB,29859000,,,,3675493
Sun Mar 08 00:00:00 GMT+05:30 2020,RJ,77264000,2,,,
Sun Mar 08 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Sun Mar 08 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Sun Mar 08 00:00:00 GMT+05:30 2020,TT,1332900000,39,3,,
Sun Mar 08 00:00:00 GMT+05:30 2020,UP,224979000,8,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,DL,19814000,4,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,JK,13203000,1,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,KA,65798000,1,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,KL,35125000,9,3,,
Mon Mar 09 00:00:00 GMT+05:30 2020,LA,293000,2,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,MH,122153000,2,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Mon Mar 09 00:00:00 GMT+05:30 2020,RJ,77264000,2,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Mon Mar 09 00:00:00 GMT+05:30 2020,TT,1332900000,48,3,,
Mon Mar 09 00:00:00 GMT+05:30 2020,UP,224979000,10,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,DL,19814000,4,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,JK,13203000,1,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,KA,65798000,4,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,KL,35125000,17,3,,
Tue Mar 10 00:00:00 GMT+05:30 2020,LA,293000,2,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,MH,122153000,5,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Tue Mar 10 00:00:00 GMT+05:30 2020,RJ,77264000,3,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Tue Mar 10 00:00:00 GMT+05:30 2020,TT,1332900000,63,3,,
Tue Mar 10 00:00:00 GMT+05:30 2020,UP,224979000,10,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,DL,19814000,5,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,JK,13203000,1,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,KA,65798000,4,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,KL,35125000,17,3,,
Wed Mar 11 00:00:00 GMT+05:30 2020,LA,293000,3,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,MH,122153000,11,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Wed Mar 11 00:00:00 GMT+05:30 2020,RJ,77264000,3,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Wed Mar 11 00:00:00 GMT+05:30 2020,TT,1332900000,71,3,,
Wed Mar 11 00:00:00 GMT+05:30 2020,UP,224979000,10,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,AP,52221000,1,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,DL,19814000,6,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,JK,13203000,1,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,KA,65798000,5,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,KL,35125000,19,3,,
Thu Mar 12 00:00:00 GMT+05:30 2020,LA,293000,3,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,MH,122153000,14,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Thu Mar 12 00:00:00 GMT+05:30 2020,RJ,77264000,3,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Thu Mar 12 00:00:00 GMT+05:30 2020,TT,1332900000,81,3,,
Thu Mar 12 00:00:00 GMT+05:30 2020,UP,224979000,12,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,AP,52221000,1,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,DL,19814000,7,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,JK,13203000,2,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,KA,65798000,6,,1,
Fri Mar 13 00:00:00 GMT+05:30 2020,KL,35125000,22,3,,
Fri Mar 13 00:00:00 GMT+05:30 2020,LA,293000,3,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,MH,122153000,17,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Fri Mar 13 00:00:00 GMT+05:30 2020,RJ,77264000,3,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,TG,37220000,1,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,TT,1332900000,91,3,1,6500
Fri Mar 13 00:00:00 GMT+05:30 2020,UP,224979000,13,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,AP,52221000,1,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,DL,19814000,7,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,HP,7300000,,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,JK,13203000,2,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,KA,65798000,6,,1,
Sat Mar 14 00:00:00 GMT+05:30 2020,KL,35125000,22,3,,
Sat Mar 14 00:00:00 GMT+05:30 2020,LA,293000,3,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,MH,122153000,26,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Sat Mar 14 00:00:00 GMT+05:30 2020,RJ,77264000,4,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,TG,37220000,2,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
